content,score,thumbsUpCount,topic
"Would be perfect if there were text formatting options - italics, bold, strikethrough, etc. I want to use it, but since I do creative writing my text would largely be ruined without formatting. I'll keep an eye on it though!",3,1,Editing Features
"The app crashed a few days ago, I thought it was temporary, but it's gone, all my notes are gone, I didn't know I had to back them up too, wasn't mentioned any time I was making notes. You guys need to do better. I should have just gone ahead with Google notes. Disappointed ex-consumer.",1,1,Data Loss Anxiety
There is no formatting. The export is not in text format so can't be used independently,2,1,File and Document Support
"After observing two days I found it worthless. No proper editing, sharing, select nothing. Total waste.",1,1,Editing Features
"It has voice note features and works like a chat, really convinient, i like it.",5,1,Unique Note Organization
"Thought this was a great app lived the features, till today when its crashed, I really hope it hasn't lost all the info i had on it. Is there a update that fixes this problem? Thanks I won't be reinstalling your app, glad i never paid for it, otherwise I would be really pissed and asking foy my money back.",1,1,App Crashes
"Currently I'm not able to work on this App , they are saying it has a bug and I have to wait",2,1,App Crashes
"I guess it was inspired by telegram bots, Almost same thing but, when it comes to privacy this app is better so 👍 Edit :- I'd like to have 1. Pin top 2. Archive",4,1,Request for Enhancements
no data collected no data shared with third-party ? this is so refreshing,5,1,Initial Impressions
Really good. Is there a PC version?,5,1,Initial Impressions
I love this app but i'd like to request a cloud backup feature where all my notes will be backed up to my email address rather than the already existing zip file back up option that is difficult to restore...i really hope to get the update soon,4,1,Backup and Recovery Improvements
has lost some important uni. notes. dont trust this app.,1,1,Data Loss Anxiety
Please fix this app I have so many notes that were important to me on that app. 🙏🙏🙏🙏,5,1,Data Loss Anxiety
Very useful application. Thank you very much for simple UI and fast application,5,1,User-Friendly Design
I love this aap.This was the most useful tool of my jee journy.Today at my goal at iit roorkee.because of you.i don't know what is reason❤️. Thank you,5,1,Positive User Experience
"Love it . Gots lots of potential. Hoping some text editing features and grouping of notes etc. Really hard to find this kind of app for free with no in app purchase , hopefully it does stay free .",5,1,Request for Enhancements
Worked fine until it won't even start anymore. Apparently reinstalling helps but we'll also delete all your notes which is the opposite of what I take notes for,2,1,Data Loss Anxiety
"A good notes app Nice and fresh ui Some suggestions : It would be graat to have some theme / color customisation Ability to add a todo option and reminder Text customisation as in increasing text size , font ( if possible ) etc Really cool start 👀 Looking forward to the upcoming features / updates",4,1,Request for Enhancements
"This app is perfect to say the least but for some reason it has a bug and now it keeps crashing, i have very important notes that i recklessly didnt back up and now i dont have access to them, please fix this bug this app deserves 5 stars Update: app fixed, 5 stars!!!",5,1,App Crashes
App is good but it doesn't allow to attach audio file. It only allows to instantly record and attach. Please include the feature to attach pre-recorded audio file.,2,1,File and Document Support
"Worked fine for a while then it stopped opening. Kept crashing. Developer told me to reinstall it again, though notes were lost, but the good thing is that they replied.",3,1,App Crashes
Awesome app! But now the app crash frequently. Not able to open.. pls fix..,3,2,App Crashes
No offline option,1,2,Other
great but still not perfect. There are bugs when I edit a text it shows the unedited text in the preview.,4,2,Editing Features
They took all the good features and put them behind a paywall. Now the free version is just an average notes app.,2,2,Trial Usage
After new update the app keep crashing whenever I am opening it. The finger print unlock is not showing while opening app.,1,2,App Crashes
Very simple and easy to use. Loved the password protection feature.,5,2,User-Friendly Design
"It's a really nice app but when I accidentally deleted some of my notes but had backup, I tried to restore my notes and the app would be loading for like 10 minutes but nothing gets restored in the end. It's really frustrating please fix this issue. Also, the app won't even open without internet connection and Google play",2,2,Backup and Recovery Improvements
"I'm a Pro user and love the idea, but I can't edit or delete a note (only the note group). I also can't select to copy the text in the notes either. These make the app unusable for me unfortunately, for example if I want to store book quotes under one group or thoughts I want to edit later and then share these with others. Happy to change the review if this is fixed. Markdown functionality for formatting would also be fantastic, it's the main thing keeping me on Google Notes.",2,2,Editing Features
"UI problems. (On Android). Spent an hour trying to delete a note. Menu appears truncated at bottom so no ""help"" ""about"" etc. There appear to be icons at the bottom but only a few pixels show as though the icons are below the displayed screen. Maybe an Android OS issue?",1,2,User-Friendly Design
"It's not looking like trustable What's the reason, why & how you are providing ads free and purchase free service in this app.",1,2,Requests for Communication
Major bug. Keeps force closing on restore. contacted developer twice & yet no response. The app is useless without backup.,1,2,Backup and Recovery Improvements
"This app is absolutely amazing. Its really convenient and easy to use Specially i can keep all my important things in one place without any worries. I just have some features request 1. Please add online backup (like google drive and Tera box) 2. Please add folder (sometimes I create many groups that falls into same category like books, summary and take away key points. I want to keep this all groups in 1 folder so i can separate them from other groups) 3. Quick media view like WhatsApp",5,2,Search and Organization Tools
"Happy to support. Yes, it is no longer free, but $4.99 for life is a good deal. This is one of the few apps that is really worth paying for. The only thing I'd wish for is some automatic backup to a specific folder on the phone. No cloud account, just a folder.",5,2,Backup and Recovery Improvements
the appe is per se excellent ... yet after an update received & performed on today morning 11.12.2o23 the app won't restart ... please debug asap ... greetings,5,2,App Crashes
"Please fix the app ASAP. It's not launching anymore. Otherwise, the app is good ... but disappointed with such a bad bug.",1,2,App Crashes
Why annoying update message? Do you like to annoy?,2,2,Requests for Communication
"Amazing app But keeps crashing nowadays please do fix it. Hope my notes doesn't get deleted, Bought the pro version. A suggestion I would like to give is to allow pasting pictures, I can put images from my gallery but not from my clipboard If this is allowed that would be really helpful Thankyou!",4,2,App Crashes
Matlb kya hi kahe ...khush kr diye tum launde ...accha hai accha kaam krte rho ..paise mat mangna bs,5,2,Developer Appreciation
I like how simple it is one more feature and this is gonna be insane Make the messages ( notes ) to be swapped in done and added above all of notes with opacity 50 with title history as this is like todo lists. or make it like category notes and todo can't wait this update. btw nice simple idea 👏🏻,5,2,Search and Organization Tools
"Needs improvement, I just tried to add a note, and it will not open. It comes up stating that there's a bug, and I'll have to wait for an update to use it again!!! So everything I have in there is now useless!!",2,2,App Crashes
"Amazing app, a lot of useful features!",5,2,Positive User Experience
"Before I had found this app, I would tell my friends that there needs to be something like a text messenger where you can just easily text a reminder/to do list/note etc., because I was always texting my friends my reminders to me, because I am very forgetful. Have been searching high and low for something like this, and I found this app. It exactly what I wanted.",5,2,Reminders and Notifications
An app everyone must have.,5,2,Positive User Experience
"Whatever the latest update did to this app, it's terrible now, if i type too much I can't scroll down and press send, saving the note, I also can't see what I'm typing once the text gets down past my keyboard...",1,2,App Crashes
Simple. Based on daily basis. Love it,5,2,Ease of Use
"Bro, I preferred the previous version—it had a better UI and was more user-friendly. Please bring back the previous version! This version looks so cheap. And Why did it update itself even though I disabled auto-updates in the Play Store settings? Other apps didn’t update; only this one is an anomaly. To be honest, I don’t feel this is an update—it’s a downgrade. And What are you talking about? it's already the latest version.. Thanks..",2,2,User-Friendly Design
I would love to have folder inside folder option. That is the only reason why i am giving 3 stars. Otherwise 5 stars.,3,2,Search and Organization Tools
"Loved the app but seriously considering just giving up on it over something super simple. It's like everytime I open it there's a new unnecessary change that's trying to fix something that's not broken. Please I am begging you guys, just let us CHOOSE and give us a customisation/settings option. I open the app and suddenly all the text is to the right... genuinely WHY? Let Us Choose. This shouldn't be a big deal but it changes the feel of the app a lot for people like me.",2,2,User-Friendly Design
"It allows you to create categories (note sections) but cannot delete them. You can edit messages, though. Am I missing something, because it says it does not collect data. But, you cannot delete your data, when editing. Is this a joke or is there something I need to know.",1,2,Request for Enhancements
"App has stopped working, I loved this app. But it no longer works, and won't open. Please provide a fix 🙏",1,2,App Crashes
Minimalistic and lite application,5,3,User-Friendly Design
"Great app! It's a unique way of implementing a notes app! While using this app as a daily journal, it really does feel like you are having a conversation with a person and letting them know how your day went. It just feels so good! And it's also privacy friendly! Great work man, Tanuj! As a sincere request, could you please add the reply feature and also some kind of a bookmark function? Thank you!",5,3,Unique Note Organization
"I really like the app but i wish they had an automatic backup option. Currently back ups are only availabe in manual mode but updates have broken the app at least two times during my use in the last year and the data is then lost if you hadn't backed it up. I think this is the most relevant feature since everything else is pretty amazing, easy to use, good handling, nice UX etc.",5,3,Backup and Recovery Improvements
Don't update ... the new update will take off features u used to enjoy it like send voices and pics .,1,3,Requests for Enhancements
"REQUEST FOR DEVELOPERS - I have been a pro user of this application for a long time. After a recent update, I am unable to leave a space before a line and type. If I want a particular line to start in the middle of the message (like bullet points, not from the start), I am unable to do so. When I send that message, it always clears the spaces. Please change it back so that it does not clear spaces before a line.",5,3,Editing Features
"The platform it self is basic and easy to use. However it gets a 2 star review because IT DON'T SAVE the note you started. I use ""Notes"" to write super long letters to individuals so I depend on the saving of my progress. I just lost my 2nd letter to someone that I had a bit of time in just by answering a phone call because I left the app I guess. I get the saving it part is on me but really I lost a lot of word choices n everything 2 times already on just 1 letter.",2,3,Data Loss Anxiety
"01/14/25 Did the update as suggested but now all of my entries are out of order! Sentences aren't automatically capitalized even though I have it set in my keyboard settings to do that, its a pain to edit an entry as the curses always highlights an entire sentence no matter where I tap. Please fix this!",3,3,Editing Features
"The new update honestly feels like a downgrade. I’m sure the mechanics are refined—it’s an update, after all—but I’m talking visually. Visually, it frankly looks cheap and just doesn’t fit the amazing “messaging” concept like the old version. The full-screen notes just feel wrong. This was such a great app, but the new UI has made it less enjoyable for me. I’ll stick around and hope it improves or returns to its former glory (visually), but for now, it’s a bit disappointing.",2,3,User-Friendly Design
bring back the good icon! what's wrong with you ? 😕,2,3,Other
This app died in 24/01,1,3,App Crashes
This is something I've been looking for for a while. It would be absolute best (to me) with some additional features like: - allow syncing to Google Drive - simple web version (import from Google Drive) - inline checkable checkbox (like in GitHub) I'd be happy to pay a buck monthly with those features added.,5,4,Request for Enhancements
"After latest update the app doesn't open Update: Just got a reply from developer that I have to reinstall the app. Since I don't have backup, i lost all notes. Thanks for the heads-up. I have uninstalled the app since it has proven to be unreliable.",1,4,Data Loss Anxiety
"Update : unable to launch the app, keeps crashing upon start-up. Could you provide seeking features for the voice notes, such as fast forwarding or rewinding? Overall, its a very good app",1,4,App Crashes
"I love this app! It makes taking notes very simple. I had my review at 5 stars but decided to bring it down to 4 as i have a few additions that i think are necessary to make this app perfect. 1. We need to be able to group notes under categories. 2. When notes are locked, the screen shout be blurred!! If someone tried to open my notes they can see the titles and some of the contents of the notes. 3. We need to be able to color code the notes and control the colors of note groups. QoL imprvments",4,4,Search and Organization Tools
The messaging format of it is encouraging me to type a lot. Kudos to you!,5,4,Unique Note Organization
"This app was great until the latest update. Now it can't open but luckily I backed up my notes to drive before updating it. The problem is only the voice notes can play, as for the written ones they can only be opened in the app no other app can open them and I need to acces them as soon as I can they are very important. Please fix this problem ASAP because some of us really had important notes otherwise the app is very good.",4,4,App Crashes
"My apologies! It does work. I was expecting/hoping to be able to see my notes in the file manager's text viewer, but at least I can see them in the Notes to Self app. Had some difficulty because the first couple of times, I either couldn't select or couldn't see the backup file when trying to open it - maybe that's some kind of intermittent bug? But I have now installed on a different phone and successfully used Restore, and my notes look exactly as I left them. Good, I want to like this app 🙂",4,4,Backup and Recovery Improvements
"EDIT: the next update that came out about a day later fixed it for me; the app opens now and my notes are there. Phew. Upping to 4 stars because it was fixed so quickly, and I'll start creating backups now that I know of the issue. ORIGINAL: I loved this note app, until the update today. I'm now unable to open the app and I just noticed the description on the app page now says ""Please create backups regularly, you can lose your notes during app updates."" Nice... Welp. Bye bye notes...",4,4,Backup and Recovery Improvements
So far this is the easiest one. Little more expensive than others. But some more options but not too many. I already have a calendar or use I don't need that in a notepad. Anyway some of them won't even let you change the font size. That's crazy for a no pen. Anyway this one was easy the one that came with my phone I hated. And I own it for life for 699 can't beat it. We'll see this is only my first day. Thanks,5,4,Initial Impressions
"I used this app for important notes and loved the way it worked, but apparently lost everything in the recent update. I'm so disappointed. Back to paper notebooks for me.",1,4,Data Loss Anxiety
"First time I'm using this app that time it is work properly but after few months it is not working, also this app is not open in any condition so I request you please solved out my problem as soon as possible otherwise I delete this app & not recommend to my colleagues or family.",2,4,App Crashes
"Years change. Resolutions change. We change.. We've come a long way from ape to app . Good Apps are hard to find . Note to self is one of them .. Simple, Minimal and Easy to use .. 👍👍",5,5,User-Friendly Design
"Very useful! I like how you can edit ""sent"" messages, bc you can't do that if you use whatsapp/chatting apps for notes. However, I think it should have a ""re-order"" option. Where you can select certain messages in a chat, and reorder them to your convenience (move them up/down). This would be useful for people who want to use this app as their main notes/to-do list app. We reorganize things frequently as things, plans and priorities change. But in my experience to do that in this app is tedious",5,5,Request for Enhancements
"Loved it. Until one day, the app refused to open and I don't know why. Lost all my saved items. Forced myself to use a different app from now on. Like obsidian, Honestly, this was great if ONLY it didn't crash at start that one day causing me to lose everything I saved. (Cries)",3,5,Data Loss Anxiety
"Overall a really good app for taking notes quickly! BUT: it does not allow to open without an active internet connection which does not make any sense since it feels like it is designed to be an offline app. Or is there an option I am missing? Edit: fixed after 2 months, thank you!",4,5,Request for Enhancements
"Well the app is great. But the backup system is bugged. My notes got partially deleted. I think this needs the devs attention. Also, when you're typing a note and you accidentally press the back button, everything you've written down will be gone. A workaround could be, saving the message as draft when you accidentally press the back button. Like other messaging app does.",2,5,Backup and Recovery Improvements
"UPDATE: It now functions without an internet connection, and is usable again. Thanks to the developers for a great app :) Old review: I have been using this app for a while, and it has been excellent, but today I discovered (fortunately I had a fallback eSim) that I cannot open it without an internet connection. This is absurd. I cannot use this app if I can't rely on it to give me access to my notes when I need them.",5,6,App Crashes
"Why can't I get into my app, been using for ages and have a lot of personal note on it with work and meeting updates, now when I tap it to open, it just disappears, not happy what so ever. Causing distress and issues for work.",1,6,App Crashes
"I'm really excited to see that someone else already had the same thought as me & brought this app to life. It's incredibly useful to have a memo app with an interface designed like a messaging app. You can create different threads for every topic then give it a title and a topic photo. You can type memos, leave voice memos, add pictures, edit the memos you already wrote, and lock the app using biometrics. Clean UI. Dark mode. Now would you just download it already?📲👍🏻",5,6,Positive User Experience
"Feature Request :- Optional sound effect on pressing the send button just like whatsapp, the ability to rearrange note titles (for eg putting ""to read/watch"" above ""daily journal"") and some more themes and colours to make it look just like a chatting app. Otherwise a straight up 5 star app just as Sam Beckman said. Love the Concept of the app. Keep it up Tanuj bhai 👍🤩. Edit : I guess a link recognising feature like other notes/chatting apps would be very useful if you add one!",5,6,Request for Enhancements
"This was all good, even if it's minimalist it isn't for me, I'm unsatisfied but I'll just enjoyed the features and app (I says to myself) Not until last April, it keeps stopping I'm no fun anymore, my 2k plus notes are at stake. One thing more, I read all the terms and policies including backing up,but that's no use, the back up and restore seems have problem too.",1,6,Backup and Recovery Improvements
"This is such an incredible idea! For people like me who want to keep a private journal but don't know how to write one, this is definitely a lifesaver. I'm able to express myself freely as if I'm having a conversation, which in my opinion is way more effective at conveying emotions than through regular means of writing. There are a few places where the app could be improved, such as adding bold and italic text or custom fonts, but as of right now, it gets five stars from me",5,7,Therapeutic Note-Taking
"The app overall is great for simple note taking by using a messaging format by grouping them by chats which is really intuitive. Small changes I'd like to suggest but not necessarily needed, more options like the color scheme and font sizes since the sizes are pretty small for me to see without my glasses and color for more options but not necessary :>",5,7,Unique Note Organization
I love everything about this app except that it doesn't work without wifi which is really confusing to me and takes me to the Play Store instead. Hope this can get fixed since I would want to access my notes offline and this app feels like it's literally meant to be simple enough to work offline.,4,7,Ease of Use
"Great, simple to use. It's very good for its purpose so I got Pro. There are a few things I would like added: Being able to put notes in an ""Archived"" so you don't have to delete them and way easier to access. Selecting multiple notes at once to delete. Having a space between a short period of time and a time seperator subheading (e.g 𝟯:𝟯𝟬 𝗔𝗠 / 𝟱:𝟬𝟮 𝗔𝗠) for longer periods. PLEASE fix Note Lock not hiding the screen when asking for password/fingerprint, and I'll give this five stars.",2,8,Request for Enhancements
"I liked the app while I could use it, but now it crashes whenever I try to open it and I can't access my notes anymore. I was using it as a ""pregnancy diary"" to make note of when l started feeling movements, any milestones throughout the pregnancy, etc. So I'm kind of bummed that I can't access those notes and memories anymore.",3,9,App Crashes
"I fell in love with this app. it is similar to a text message. With this app you can organize each text with a title and add ideas throughout the day or whenever and it logs the date and time of each App Request * I love this app - I wanted to ask if you could make it where there are groups. So it is more organized. For example a group for family and then we do our notes related to family - a group for work and notes on that group for work, etc ... I think this would be amazing !!!",5,9,Unique Note Organization
"Simply amazing. Edit- One problem here. Why is it directing me to play store when I open it without internet connection? It is bothersome and happening after I updated it, which I did today. Edit- Another problem. I accidentally uninstalled the app and now I'm trying to restore the backup. Nothing is happening. I've restored the data before too but this time it's not working same. Help! it is important. Edit - It's fixed and I'm delighted by it. Thank you for your hardwork.",5,9,Backup and Recovery Improvements
"I like to maintain separate notebooks for each skill/goal I am working on — to note my progress and ideas. Presently, it's the best app on PlayStore for my purpose. The design is neat, and the app works smoothly. I am very happy; many thanks to the developer. Edit: How does the ""notes lock"" feature work? It does not work on my phone/tablets... no field shows up for entering password or using fingerprint.",5,9,User-Friendly Design
"This is such a wonderful idea, I truly fell in love with the concept. However, I would like to request a few things; It would work so much for me if I could select the color of the little dot next to the chat title, since I don't want to put a picture on there (more colors would also be great). Additionally, it would be cool to add more chat-like features, like theming. Great work overall!",5,9,Request for Enhancements
"Clean, Simple, Perfect It's what I've always wanted but never knew I needed. Simple, clean, quick, backup option (Google drive, local, wherever you want). I save a lot of links I want to read or go to later, for different topics. I recommend this if you use notes often and save links etc, it's excellent. The notes are date stamped, you can make categories and add notes to each one, great app, whoever made it knew exactly what you needed when you make notes for yourself. 10/10",5,11,Positive User Experience
"I press backup, the app says ""backup created successfully"" and then shows a list of other apps I can share it to. I don't see an option to put the backup on my phone's storage, or any indication of where it might be stored already. The store page says the app allows for offline backups so I assume this is a bug.",2,12,Backup and Recovery Improvements
"Really good app. Used it almost every day. For some reason it won't open anymore. It crashes and exits out of the app before I can do anything. I restarted my phone and the issue persisted. Unsure how to go forward with this error, but I hope it gets resolved. This is a nice app with an easy to use interface. I never had problems with it before.",1,12,App Crashes
I loved this app until I tried using it after Android 14 update. Now the fingerprint reader pops up but doesn't register the finger (it doesn't light up or respond with the haptic). The pin doesn't worth either. What's odd is that the app appears to open only to crash. Just won't open at all. I have lots of notes in the app and I will be upset if i can't access them. Will I lose the notes if I uninstall and reinstall? I have a pixel 7 pro.,3,13,App Crashes
"One of the best note apps I've used. No sign up or sync, just a quick and easy way to capture ideas/notes/journal entries, in a unique chat-style UI. Would be great if notes could add Markdown rendering for simple formatting, and the ability to edit a note's date/time (e.g. for organising daily journals to correct date). Thank you for developing this app, keep up the great work!",5,14,Unique Note Organization
"Very nice app! The only things I would add would be a default category and a way to control the coloring assigned to the categories and rearrange them. Plus, I would have a way to make my default category open upon app launch and sync between devices. Otherwise, I love this app for quickly getting down thoughts in my mind! Would be happy to pay one time or annually for a premium version!",4,14,Request for Enhancements
"Please don't be misled by older comments. This app is extremely functional and simple to use. It's especially helpful for people with ADHD due to its unique note style, similar to texting our friends. I highly recommend downloading this app as it's very easy to back up and upload your notes to your personal cloud.",5,15,Therapeutic Note-Taking
"This app is clean & easy to use. It's best used when you have small ideas you wanna write or just want to remember something. Instead of sending yourself a message to record memos or notes, this is the best app to use. A great feature to have is the ability to securely lock individual notes or categories. The biometric lock also needs some improvements because it doesn't lock automatically when you leave the app. It will only trigger the biometric lock if you manually close the app.",5,15,User-Friendly Design
"The app was flawless for me, but after the latest update (November 9, 2023), it can't open 😥 It was working perfectly until update 1.1.6. I lost a lot of important personal, work and medication notes. I used your app for everything. Please, release an update that fixes this. This would make my day and make the app 5-star again 💫 Thank you",1,16,App Crashes
"Great application!!! It comes with offline backup and restore option 😍. Firstly i thought, only 10 notes are available. But then it's not limited to 10 notes. And also this app packs some really good features. More over its free and ad-free. I will be very happy, if this app continues as an ad-free one😀.",5,18,Positive User Experience
"The lack of ads and the philosophy of pushing back against an increasingly advertisement-filled world and commodifying user data make this app fantastic. Also, UI is clean, the app works well, and the unique ""messenger"" style works well without sacrificing editability/it's use as a notepad. Definitely going to look into sending the dev(s?) a donation to show my appreciation.",5,18,Positive User Experience
"Did not realize how useful this was going to be. It is a note taking app that looks like a text message app conversation list. You can create different threads based on the subject of the notes. You can try messages, send it and have a time stamp. You can edit the messages. Supports voice messages and photo messages too. It would be nice to have the option to save the photos taken with the app when holding the picture or auto save to the gallery. Clean UI.",5,19,Unique Note Organization
"This is a really useful app for jotting quick notes on a subject, and especially for me while using speech to text dictation. It sets up note books which look like text bubbles in a messenger app, and is such an intuitive way to handle thoughts or items on a list. I open it, click the mic, and start talking. When I'm done I basically send it like I would with a text message and it creates a bubble which is easily recognizable and easy to differentiate from other ideas on the same subject.",5,21,Unique Note Organization
This used to be a good app. Now as far as I think the developer has updated the app and all the older versions would not launch and crash immediately. That forced me to uninstall which I don't mind but I lost a lot of data which was very important to me. Now after installing it again I don't have the data using which I can restore. Also the features the app had previously are now locked behind a paywall which I think is a really sucky move. Tldr: What was once a good app is now awful,1,23,Data Loss Anxiety
"As other reviewers describe, the app no longer opens. For me it simply disappears with no bug error notice or anything just disappears. No prompt to update. Nothing. I too had many important notes that I unfortunately did not backup. This will cause a great deal of time and stress. Please fix this. Thank you.",1,25,App Crashes
"The original app was great. But like many others, I got no warning that the update would delete all my notes. Most of the content is reproducible, but I lost a couple notes that will be hard to recover. Some users are saying the second update restored their notes, but it did not for me. Additionally, when I started using the new app, messages no longer recognize carriage returns, so you can't make a list. Not sure why the developer made this change. it is not really usable like this.",1,30,Data Loss Anxiety
"Good idea to start with. But app needs a lot of work wrt to accessibility ie. There should be a way to increase/decrease the font size in the chat. It's actually really hard for the elder persons and others with visual problems to see and read. Color scheme can also be improved with better visual aesthetics, but i would mark it as secondary thing.",4,30,User-Friendly Design
"I really enjoy this note taking app. It's like you're having a conversation with yourself. Great for brainstorming. There are only a couple of things I wish it had. The first being the ability to hook up to a Gmail account, for example, and automate back ups. Second, the pictures of the app in the Play store look like dark mode is truly dark mode, where it's AMOLED friendly. When I set mine to dark mode, it's actually dark navy blue. Third, I wish I was able to change to color of each category.",5,31,Backup and Recovery Improvements
"This is by far the best note taking app I have used! The UI is amazing; love the messaging-like interface. Very stable performance. I'm a huge fan of my data being local-only (not being shared or stored on servers). In its current form, this app is amazing! If this app would add folder organization (with collapse feature), attachment support for add'l file types (txt/md/PDF/etc) and a companion app for PC/Mac to view/modify the backup data, it would be absolutely perfect! 🤌",5,34,Search and Organization Tools
"DO NOT UPDATE!!!! Just another developer putting once free features behind a pay wall. This latest update takes away the ability to use pictures in your notes. Never mentioned in the what's new description (I wonder why?) I guess we should all be grateful that this developer does not make cars, after driving our car home and parking in the garage, we would get a software update that requires paying to have access to start the engine. Look elsewhere, there are other notes apps that work.",1,38,Requests for Communication
"Update: the app will be back up? the app just crashed. I was using it previously. All my notes are lost. I uninstalled and reinstalled the app, it still doesn't work. It's like texting yourself. Simple, clean, easy to use! Something I would add to it is ""reply"" option. Like in messenger or WhatsApp; you can reply to a specific message. In that, maybe it can look more like a conversation with yourself.",1,43,App Crashes
